micro_r_squared,micro_p_value,genetics_r_squared,genetics_p_value,total,genetics_q,micro_q,min_p,metabolite,group
0.008810732409811006,0.0017865258111699504,0.5068510348204281,0.0006004280100233809,0.5156617672302392,0.0012952376804852197,0.00238794388066503,0.0006004280100233809,butyrylcarnitine (C4),hybrid
0.049030713170069906,2.9867715744552594e-06,0.43771578628430385,0.0006004280100233809,0.48674649945437376,0.0012952376804852197,1.133989362376382e-05,2.9867715744552594e-06,deoxycholic acid glucuronide,hybrid
0.0,1.0,0.45507866277010134,0.0006004280100233809,0.45507866277010134,0.0012952376804852197,1.0,0.0006004280100233809,N-acetylcitrulline,genetics
0.42838820364014263,1.6477780942119845e-67,0.0,1.0,0.42838820364014263,1.0,1.06281687076673e-64,1.6477780942119845e-67,cinnamoylglycine,microbiome
0.08289152245828901,3.935398759112359e-10,0.3168144097508322,0.0006004280100233809,0.3997059322091212,0.0012952376804852197,3.845957878223441e-09,3.935398759112359e-10,N-delta-acetylornithine,hybrid
0.0,1.0,0.3859952287814086,0.0006004280100233809,0.3859952287814086,0.0012952376804852197,1.0,0.0006004280100233809,5-hydroxylysine,genetics
0.009031299284622651,0.0016505877019073292,0.3747616358853352,0.0006004280100233809,0.3837929351699578,0.0012952376804852197,0.0022413243531162683,0.0006004280100233809,N-acetylarginine,hybrid
0.0,1.0,0.3837193092795861,0.0006004280100233809,0.3837193092795861,0.0012952376804852197,1.0,0.0006004280100233809,N-acetylglutamine,genetics
0.3828093149053382,3.283722600970997e-55,0.0,1.0,0.3828093149053382,1.0,1.0379616418207795e-52,3.283722600970997e-55,isoursodeoxycholate,microbiome
0.3809490663996492,4.827728566608277e-55,0.0,1.0,0.3809490663996492,1.0,1.0379616418207795e-52,4.827728566608277e-55,3-phenylpropionate (hydrocinnamate),microbiome
0.015007983069667219,0.00010039221804283026,0.3538005332191042,0.0006004280100233809,0.3688085162887714,0.0012952376804852197,0.00022175678300556686,0.00010039221804283026,N-acetyl-1-methylhistidine*,hybrid
0.0,1.0,0.3621785002857265,0.0006004280100233809,0.3621785002857265,0.0012952376804852197,1.0,0.0006004280100233809,decadienedioic acid (C10:2-DC)**,genetics
0.0,1.0,0.3432259868340224,0.0006004280100233809,0.3432259868340224,0.0012952376804852197,1.0,0.0006004280100233809,glycochenodeoxycholate glucuronide (1),genetics
0.27241258031993,5.037324955563637e-36,0.0,1.0,0.27241258031993,1.0,8.122686490846364e-34,5.037324955563637e-36,hippurate,microbiome
