index,metabolite
316,metabolite_100001468
317,metabolite_100001485
318,metabolite_100001501
319,metabolite_100001509
320,metabolite_100001510
321,metabolite_100001511
322,metabolite_100001540
323,metabolite_100001541
324,metabolite_100001550
325,metabolite_100001551
326,metabolite_100001552
327,metabolite_100001553
328,metabolite_100001554
329,metabolite_100001556
330,metabolite_100001557
331,metabolite_100001562
332,metabolite_100001563
333,metabolite_100001566
334,metabolite_100001567
335,metabolite_100001569
336,metabolite_100001570
337,metabolite_100001571
338,metabolite_100001577
339,metabolite_100001579
340,metabolite_100001580
341,metabolite_100001586
342,metabolite_100001590
343,metabolite_100001593
344,metabolite_100001597
345,metabolite_100001604
346,metabolite_100001605
347,metabolite_100001609
348,metabolite_100001613
349,metabolite_100001614
350,metabolite_100001620
351,metabolite_100001635
352,metabolite_100001651
353,metabolite_100001652
354,metabolite_100001654
355,metabolite_100001655
356,metabolite_100001657
357,metabolite_100001658
358,metabolite_100001662
359,metabolite_100001668
360,metabolite_100001674
361,metabolite_100001733
362,metabolite_100001734
363,metabolite_100001739
364,metabolite_100001740
365,metabolite_100001743
366,metabolite_100001755
367,metabolite_100001756
368,metabolite_100001757
369,metabolite_100001776
370,metabolite_100001777
371,metabolite_100001778
372,metabolite_100001810
373,metabolite_100001851
374,metabolite_100001856
375,metabolite_100001868
376,metabolite_100001869
377,metabolite_100001870
378,metabolite_100001876
379,metabolite_100001882
380,metabolite_100001948
381,metabolite_100001950
382,metabolite_100001951
383,metabolite_100001956
384,metabolite_100001977
385,metabolite_100001987
386,metabolite_100001988
387,metabolite_100001989
388,metabolite_100001990
389,metabolite_100001992
390,metabolite_100001993
391,metabolite_100001994
392,metabolite_100001999
393,metabolite_100002009
394,metabolite_100002014
395,metabolite_100002018
396,metabolite_100002021
397,metabolite_100002024
398,metabolite_100002026
399,metabolite_100002027
400,metabolite_100002028
401,metabolite_100002029
402,metabolite_100002049
403,metabolite_100002060
404,metabolite_100002063
405,metabolite_100002067
406,metabolite_100002070
407,metabolite_100002094
408,metabolite_100002102
409,metabolite_100002106
410,metabolite_100002107
411,metabolite_100002122
412,metabolite_100002126
413,metabolite_100002129
414,metabolite_100002152
415,metabolite_100002154
416,metabolite_100002171
417,metabolite_100002173
418,metabolite_100002185
419,metabolite_100002196
420,metabolite_100002199
421,metabolite_100002227
422,metabolite_100002253
423,metabolite_100002259
424,metabolite_100002356
425,metabolite_100002417
426,metabolite_100002458
427,metabolite_100002488
428,metabolite_100002514
429,metabolite_100002528
430,metabolite_100002537
431,metabolite_100002749
432,metabolite_100002761
433,metabolite_100002769
434,metabolite_100002784
435,metabolite_100002796
436,metabolite_100002871
437,metabolite_100002875
438,metabolite_100002876
439,metabolite_100002910
440,metabolite_100002911
441,metabolite_100002927
442,metabolite_100002951
443,metabolite_100002952
444,metabolite_100002953
445,metabolite_100002989
446,metabolite_100002990
447,metabolite_100003000
448,metabolite_100003001
449,metabolite_100003008
450,metabolite_100003119
451,metabolite_100003151
452,metabolite_100003169
453,metabolite_100003260
454,metabolite_100003271
455,metabolite_100003397
456,metabolite_100003434
457,metabolite_100003470
458,metabolite_100003473
459,metabolite_100003594
460,metabolite_100003686
461,metabolite_100003696
462,metabolite_100003901
463,metabolite_100003926
464,metabolite_100004046
465,metabolite_100004054
466,metabolite_100004089
467,metabolite_100004111
468,metabolite_100004112
469,metabolite_100004182
470,metabolite_100004208
471,metabolite_100004227
472,metabolite_100004295
473,metabolite_100004299
474,metabolite_100004322
475,metabolite_100004328
476,metabolite_100004329
477,metabolite_100004499
478,metabolite_100004509
479,metabolite_100004523
480,metabolite_100004541
481,metabolite_100004542
482,metabolite_100004552
483,metabolite_100004575
484,metabolite_100004635
485,metabolite_100004646
486,metabolite_100005350
487,metabolite_100005351
488,metabolite_100005352
489,metabolite_100005367
490,metabolite_100005371
491,metabolite_100005372
492,metabolite_100005384
493,metabolite_100005403
494,metabolite_100005466
495,metabolite_100005673
496,metabolite_100005714
497,metabolite_100005717
498,metabolite_100005834
499,metabolite_100005850
500,metabolite_100005864
501,metabolite_100005985
502,metabolite_100005986
503,metabolite_100005996
504,metabolite_100006051
505,metabolite_100006056
506,metabolite_100006065
507,metabolite_100006082
508,metabolite_100006092
509,metabolite_100006098
510,metabolite_100006108
511,metabolite_100006115
512,metabolite_100006116
513,metabolite_100006121
514,metabolite_100006129
515,metabolite_100006191
516,metabolite_100006260
517,metabolite_100006290
518,metabolite_100006292
519,metabolite_100006293
520,metabolite_100006294
521,metabolite_100006295
522,metabolite_100006296
523,metabolite_100006298
524,metabolite_100006314
525,metabolite_100006361
526,metabolite_100006367
527,metabolite_100006370
528,metabolite_100006375
529,metabolite_100006379
530,metabolite_100006430
531,metabolite_100006435
532,metabolite_100006614
533,metabolite_100006620
534,metabolite_100006641
535,metabolite_100006642
536,metabolite_100006644
537,metabolite_100006651
538,metabolite_100006726
539,metabolite_100008903
540,metabolite_100008904
541,metabolite_100008914
542,metabolite_100008915
543,metabolite_100008916
544,metabolite_100008917
545,metabolite_100008918
546,metabolite_100008919
547,metabolite_100008920
548,metabolite_100008921
549,metabolite_100008928
550,metabolite_100008930
551,metabolite_100008939
552,metabolite_100008951
553,metabolite_100008954
554,metabolite_100008955
555,metabolite_100008956
556,metabolite_100008957
557,metabolite_100008976
558,metabolite_100008977
559,metabolite_100008980
560,metabolite_100008984
561,metabolite_100008989
562,metabolite_100008990
563,metabolite_100008991
564,metabolite_100008992
565,metabolite_100008993
566,metabolite_100008994
567,metabolite_100008998
568,metabolite_100008999
569,metabolite_100009000
570,metabolite_100009002
571,metabolite_100009004
572,metabolite_100009005
573,metabolite_100009007
574,metabolite_100009008
575,metabolite_100009009
576,metabolite_100009014
577,metabolite_100009015
578,metabolite_100009019
579,metabolite_100009020
580,metabolite_100009021
581,metabolite_100009025
582,metabolite_100009026
583,metabolite_100009027
584,metabolite_100009028
585,metabolite_100009030
586,metabolite_100009035
587,metabolite_100009036
588,metabolite_100009037
589,metabolite_100009038
590,metabolite_100009051
591,metabolite_100009052
592,metabolite_100009055
593,metabolite_100009066
594,metabolite_100009067
595,metabolite_100009069
596,metabolite_100009078
597,metabolite_100009122
598,metabolite_100009123
599,metabolite_100009124
600,metabolite_100009125
601,metabolite_100009126
602,metabolite_100009130
603,metabolite_100009132
604,metabolite_100009134
605,metabolite_100009135
606,metabolite_100009138
607,metabolite_100009139
608,metabolite_100009140
609,metabolite_100009141
610,metabolite_100009142
611,metabolite_100009143
612,metabolite_100009146
613,metabolite_100009148
614,metabolite_100009160
615,metabolite_100009161
616,metabolite_100009162
617,metabolite_100009166
618,metabolite_100009181
619,metabolite_100009184
620,metabolite_100009209
621,metabolite_100009215
