,r2,p
metabolite_512,0.0636138265115157,1.3329109708684198e-11
metabolite_519,0.12709164008104745,4.687738296994462e-31
metabolite_533,0.21720436482657735,3.617576939420873e-63
metabolite_535,0.12880286247161454,9.208292441836733e-32
metabolite_537,0.10247162706904644,3.459669867160632e-23
metabolite_561,0.29705452003494004,3.0327083623825534e-97
metabolite_563,0.10965446741458484,3.7874713761471785e-25
metabolite_564,0.01892525455277394,0.16485661654323439
metabolite_565,0.15351129681069942,4.629428178442686e-40
metabolite_566,0.2000082566300283,3.3867049604618535e-56
metabolite_572,0.06667633133610107,2.2561127484147893e-12
metabolite_796,0.0588404360703394,4.46798494353009e-10
metabolite_798,0.05192344243278835,2.470500064355979e-06
metabolite_799,0.16440220092672053,3.34223891605246e-44
metabolite_800,0.11241991551018671,3.5982870946301596e-26
metabolite_803,0.21808154811344127,8.239230336345594e-64
metabolite_806,0.09603620800483315,4.732533184171892e-21
metabolite_811,0.11668417920042085,1.1350480538245944e-27
metabolite_815,0.1007867161083622,2.158082255400998e-22
metabolite_821,0.18168175000622677,7.945005330506984e-51
metabolite_823,0.18710385485601666,4.2864180717772536e-52
metabolite_825,0.08717698594203482,1.0091389007653448e-16
metabolite_849,0.031793281315379285,0.002410045301566785
metabolite_878,0.037541192415382674,6.943959730315938e-05
metabolite_880,0.12055759368918784,3.2294448782359516e-28
metabolite_888,0.13392890811165004,2.224923227301041e-33
metabolite_891,0.08043539942425793,2.8104361277033284e-16
metabolite_892,0.10361100625605957,6.355119446447018e-23
metabolite_893,0.17045532645487005,7.344441856541742e-46
metabolite_913,0.2253340801370678,9.072023272536357e-56
metabolite_917,0.13043081754187769,5.936013174985993e-32
metabolite_922,0.199479984182674,4.184131258629699e-52
metabolite_932,0.07770738175642344,1.3735055852139899e-14
metabolite_980,0.06980225364869408,2.2697964819021127e-13
metabolite_1001,0.06385008103577283,1.2406461986779156e-11
metabolite_1002,0.09809949755463088,3.0374640125082697e-21
metabolite_1004,0.15221197968342726,9.735770327586407e-40
metabolite_1021,0.21831465818590634,2.0863542858757986e-64
metabolite_1022,0.1656078984235344,1.2175479293733145e-40
metabolite_1023,0.19273570229582726,4.201067056951922e-54
metabolite_1024,0.1145374858917787,4.5739042105413915e-27
metabolite_1025,0.05702821489667764,1.1480959469578518e-09
metabolite_1026,0.09588284216910403,5.053874245141779e-21
metabolite_1052,0.157281190020234,1.2601764384155763e-41
metabolite_1053,0.10990061169130805,4.3184421747078315e-19
metabolite_1082,0.15438516931821633,6.731837849095015e-40
metabolite_1083,0.08865281017797089,7.739531827278854e-19
metabolite_1084,0.10288548734509362,3.246104007513515e-23
metabolite_1087,0.12311212180051812,7.312353933658419e-30
metabolite_1090,0.11837966754733986,4.965787064398842e-28
metabolite_1094,0.08383896611645458,2.9620111447411967e-17
metabolite_1102,0.18923549803532724,6.286621476185213e-53
metabolite_1105,0.18445537788203337,6.679427918572779e-52
metabolite_1110,0.10535059436160588,4.003378360443526e-24
metabolite_1111,0.2341115879285136,5.966564154228375e-71
metabolite_1113,0.13743074998630755,1.4413511063770707e-34
metabolite_1114,0.08713039798470357,2.0748064555634308e-18
metabolite_1124,0.09200315404507187,6.731382194887677e-20
metabolite_1128,0.023508813435085707,0.034185223085518225
metabolite_1134,0.3280193940878602,2.13571724219727e-111
metabolite_1135,0.0756664074481167,1.3773015759445e-11
metabolite_1137,0.15476684298515375,3.118787007066672e-40
metabolite_1140,0.09923223832575101,9.059173172735379e-22
metabolite_1141,0.12987512714171556,1.6314899406662674e-30
metabolite_1162,0.06303132748118401,3.335540624616787e-11
metabolite_1221,0.22403108157655138,3.064016685287638e-66
metabolite_1224,0.12003024513036031,1.5207699089128532e-28
metabolite_1231,0.10153352618544298,6.538507274700751e-23
metabolite_1235,0.12329599532596047,2.3323807931954703e-29
metabolite_1239,0.08777516583810663,2.5785438596385583e-18
metabolite_1242,0.11320771861820889,1.2392307406570359e-26
metabolite_1254,0.24196374740602689,2.1624077036854027e-73
metabolite_1256,0.13073048210804394,4.4254931366070834e-32
metabolite_1268,0.32464705571500063,3.5937098714085136e-109
metabolite_1342,0.08067797835638335,5.772893434621737e-16
metabolite_1442,0.1623457957739961,1.5496023893250612e-43
metabolite_1489,0.13197955592427812,8.90678625665611e-33
metabolite_1518,0.07722786566490902,3.544296175595982e-15
metabolite_1526,0.06686441426676915,1.8893608427602172e-12
metabolite_1528,0.1021128173751058,5.462588515030353e-22
metabolite_1537,0.0566524553478962,1.4759734333688266e-09
metabolite_1538,0.08844147924501755,1.232650760395469e-18
metabolite_1539,0.1013927318552027,1.0536866528174604e-22
metabolite_1547,0.15557655414706772,3.4248648181669234e-41
metabolite_1628,0.06491004472536521,8.026850316051748e-12
metabolite_1629,0.05185573845842928,8.4246397195347e-08
metabolite_1648,0.04219250425501231,0.00020757706916586135
metabolite_1668,0.03947458856232655,0.000155778240092871
metabolite_1869,0.06806783584388332,8.712264556869617e-12
metabolite_2050,0.16977677593978813,1.3621979360655036e-46
metabolite_2051,0.08844602605684304,2.226474665811666e-18
metabolite_2054,0.06951660840385099,3.366991833610223e-13
metabolite_100000007,0.14735049090049168,3.0035211418548705e-37
metabolite_100000008,0.21183393561599306,9.28261452659134e-52
metabolite_100000010,0.15216616360639346,2.5223367581984023e-35
metabolite_100000014,0.11365013020930392,1.8862679281550278e-26
metabolite_100000015,0.14552053426693257,2.922214164490826e-29
metabolite_100000036,0.2409103048406216,3.167204343680917e-72
metabolite_100000039,0.06338122420787473,3.477518985906305e-11
metabolite_100000042,0.0709671515940683,2.107239018692899e-13
metabolite_100000054,0.28686310330469966,5.773614121948566e-84
metabolite_100000096,0.23967272304031728,1.8035914253755197e-69
metabolite_100000257,0.08135667895669851,2.8594821075241244e-16
metabolite_100000263,0.1122534230504133,5.894319916888627e-26
metabolite_100000265,0.16586832748297797,3.499229108170877e-44
metabolite_100000269,0.1675806962773585,9.333260924356259e-45
metabolite_100000276,0.10023789963061502,3.709162938529565e-18
metabolite_100000282,0.13721279297985645,1.3229347273671544e-30
metabolite_100000406,0.15804649503642754,3.295622315825606e-41
metabolite_100000436,0.043352824288060865,5.305885086769779e-05
metabolite_100000437,0.04440598948771457,4.148933004949771e-06
metabolite_100000442,0.06446298669911432,2.6403539318614157e-11
metabolite_100000445,0.056807260198606824,2.5879961262500368e-09
metabolite_100000447,0.12062629551024573,3.8585451120442155e-22
metabolite_100000453,0.028727159597760288,0.011274366879023352
metabolite_100000463,0.20091580149367172,4.3740770886121165e-57
metabolite_100000467,0.05832886227595435,8.677624346271067e-10
metabolite_100000491,0.2081930807913377,1.1772298105366848e-54
metabolite_100000551,0.2352811868836443,7.199373346122038e-71
metabolite_100000580,0.06566391676778738,7.276103717816431e-12
metabolite_100000611,0.12899368275898093,7.493573821337988e-31
metabolite_100000616,0.09322102990424785,4.1495944100803094e-20
metabolite_100000626,0.11045269396887447,1.3213220834089085e-25
metabolite_100000639,0.08609139092718687,6.234351045346593e-17
metabolite_100000656,0.10765690708524034,3.1416448107494008e-24
metabolite_100000657,0.05228639166514282,2.570239031325728e-08
metabolite_100000665,0.17077680267548867,5.160345056718236e-46
metabolite_100000672,0.07983995061598292,6.182934386517317e-16
metabolite_100000706,0.29085499490699995,4.4336814594290705e-94
metabolite_100000707,0.07832335205652685,1.0705096587578112e-14
metabolite_100000743,0.029006106479796623,0.0045215390283223035
metabolite_100000773,0.03425205887061977,0.00036511706304417387
metabolite_100000774,0.2444863724213283,4.004945675922557e-74
metabolite_100000776,0.12286611214580623,4.0764716102980557e-29
metabolite_100000781,0.07230937518774239,7.080324006345593e-14
metabolite_100000787,0.17057109590889585,4.7158536068540346e-46
metabolite_100000792,0.34337828221432987,1.0640641635858329e-116
metabolite_100000802,0.05297582879820251,1.286224721993871e-08
metabolite_100000808,0.5833485949270072,9.958735763597906e-250
metabolite_100000827,0.22703853927326556,4.769927240195328e-66
metabolite_100000840,0.12355292408557261,2.1641859922041705e-29
metabolite_100000841,0.21212364548432483,7.596722357262873e-62
metabolite_100000846,0.03648783794995647,0.0001583068698997212
metabolite_100000882,0.03669427689476379,9.670804247590743e-05
metabolite_100000900,0.04882851985858783,1.782485452444548e-07
metabolite_100000924,0.13949463030589782,5.645643413290335e-35
metabolite_100000936,0.10071303830379763,1.4302752848520556e-22
metabolite_100000961,0.2000636377563666,2.122895599011983e-56
metabolite_100000963,0.05861625277544302,2.4146604394798954e-08
metabolite_100000987,0.1186428741364467,1.0793528419986684e-20
metabolite_100000997,0.02746092829124902,0.0075453445346175515
metabolite_100001002,0.12032331446731015,4.336240550398304e-29
metabolite_100001006,0.20440844961675453,1.3519117514055603e-58
metabolite_100001007,0.07622366672679692,1.3788787872323266e-14
metabolite_100001022,0.2942252539013228,2.888661309338297e-95
metabolite_100001034,0.07791515977628927,1.5973028941057536e-15
metabolite_100001040,0.1498970398658126,1.1405789263416748e-38
metabolite_100001051,0.1701731647855258,5.059554177868947e-46
metabolite_100001054,0.09829798329898976,2.0156333425775718e-21
metabolite_100001055,0.12487897617878985,3.24535201398682e-30
metabolite_100001073,0.16612429942013196,3.0853696858505935e-44
metabolite_100001083,0.14641921653350365,2.4330953761332556e-37
metabolite_100001092,0.12511015639513068,2.139115598047844e-30
metabolite_100001102,0.0647306717332482,1.1769198700332731e-11
metabolite_100001104,0.11809480999432886,2.930027558767395e-26
metabolite_100001106,0.055864716692861305,1.272924451541092e-07
metabolite_100001108,0.07855888769493391,3.454806419787003e-14
metabolite_100001112,0.0401254508076051,1.8415480393963415e-05
metabolite_100001121,0.13179176475743082,2.6908002599146505e-32
metabolite_100001126,0.2919547358250375,1.8294986682047462e-91
metabolite_100001132,0.07587234498313078,8.69844290670446e-12
metabolite_100001145,0.05642178799007347,5.753726299409572e-07
metabolite_100001150,0.08633071177121132,2.0239858307396985e-16
metabolite_100001162,0.2241950736990489,7.791834479165167e-66
metabolite_100001167,0.09625149269677735,5.768202841373701e-21
metabolite_100001170,0.11653625468727391,9.620221487337875e-28
metabolite_100001178,0.21719157734395733,2.5859153311457695e-63
metabolite_100001181,0.10094515941041715,1.051140208515193e-22
metabolite_100001182,0.11380186651260615,8.84342897606499e-27
metabolite_100001193,0.08444390696464721,2.7394497304075767e-17
metabolite_100001197,0.05587433042074463,2.116368182441024e-09
metabolite_100001198,0.23609776128388493,6.4187181210615775e-71
metabolite_100001208,0.14827320432430424,6.972819672849835e-38
metabolite_100001211,0.07509862905797327,6.870967718907777e-12
metabolite_100001229,0.11470100466375499,9.638093703984797e-27
metabolite_100001232,0.1602433520650528,1.1157586966018118e-42
metabolite_100001247,0.05070887150737635,4.1825688998869896e-08
metabolite_100001251,0.05844628327261592,2.673684126760158e-10
metabolite_100001253,0.09696215847556355,2.3320986739883007e-20
metabolite_100001254,0.19015140207564307,1.1785364682324372e-53
metabolite_100001256,0.16916181958426657,3.016230817799114e-45
metabolite_100001262,0.06808311045643367,4.0833855959380107e-10
metabolite_100001263,0.16623821974113906,1.0229467983432421e-44
metabolite_100001264,0.20258822233706486,9.163746882203448e-58
metabolite_100001266,0.11789773057368014,6.739028127526894e-28
metabolite_100001267,0.032394608814674264,0.0008238069184285089
metabolite_100001270,0.09529607653473138,8.022963357580508e-21
metabolite_100001271,0.16763887053796367,4.1385161556167305e-45
metabolite_100001272,0.29092226217115524,1.1162952407186546e-93
metabolite_100001274,0.20552499843879013,2.950948314925947e-59
metabolite_100001276,0.17616390737929732,3.6482828766531696e-39
metabolite_100001277,0.1192870601799938,1.6873597269726171e-28
metabolite_100001278,0.15180754884397163,4.1956647726533264e-39
metabolite_100001287,0.2105658296730779,6.899836126361956e-60
metabolite_100001293,0.16967669227724003,1.7025459665636428e-44
metabolite_100001294,0.09767332509291027,1.3412336977584e-21
metabolite_100001295,0.11077205514707311,9.711297679224664e-22
metabolite_100001296,0.07200366352320886,5.800505291341452e-14
metabolite_100001300,0.13125495833535683,1.6661922773693195e-32
metabolite_100001313,0.11726340550162817,6.942624824431343e-28
metabolite_100001314,0.034830276083571365,0.00026043526316586534
metabolite_100001315,0.14283578555722998,2.6964614306414335e-36
metabolite_100001320,0.13664142649150546,2.8601452816173087e-34
metabolite_100001335,0.07852349090904309,7.273170801401536e-16
metabolite_100001337,0.0941741970103761,1.5014422284503093e-20
metabolite_100001359,0.12136483954348531,5.895666502573376e-29
metabolite_100001383,0.06552102933433468,6.7621936370261786e-12
metabolite_100001384,0.27130512457232225,6.731502877707328e-75
metabolite_100001391,0.20663254611016957,8.004249218490257e-60
metabolite_100001392,0.05680544702797852,1.2853493004431836e-09
metabolite_100001393,0.17366397048466675,7.312393389653407e-47
metabolite_100001395,0.24664736590136827,1.1976319197198958e-74
metabolite_100001396,0.054682213057187345,1.0739279569016222e-07
metabolite_100001398,0.032906733580005953,0.00931158830889371
metabolite_100001399,0.05078321986979384,1.469982297389195e-07
metabolite_100001402,0.05288985132000101,7.334005226485083e-07
metabolite_100001403,0.055945055063488236,9.939712066634675e-09
metabolite_100001405,0.08514832153121654,1.3653572132518536e-14
metabolite_100001409,0.1757579023235225,2.0126555650646962e-47
metabolite_100001412,0.16618740954518207,1.625338614465397e-44
metabolite_100001413,0.17828748792799676,1.4973711774633058e-45
metabolite_100001415,0.2092880022899699,2.565244008090577e-60
metabolite_100001416,0.16143496139082547,3.7677109292293506e-42
metabolite_100001417,0.13340130055232435,1.0788729226011048e-32
metabolite_100001423,0.06548549852132135,3.899669655004499e-12
metabolite_100001425,0.182884994998598,2.0530252078527678e-50
metabolite_100001426,0.18422942415203103,1.3430671801960441e-48
metabolite_100001433,0.11810150289646693,4.943773168352696e-23
metabolite_100001446,0.11749287157200727,7.721110553027634e-28
metabolite_100001452,0.09325921189154451,5.913382530973928e-17
metabolite_100001456,0.07116540066358135,1.4986330165927707e-13
metabolite_100001461,0.10249518812238156,5.464903177388633e-23
metabolite_100001468,0.11794089444751676,8.164573841096594e-28
metabolite_100001485,0.29996014269735605,3.0837797150866015e-98
metabolite_100001501,0.15491892335131896,2.024562367467225e-40
metabolite_100001509,0.22461440790627707,1.4009489849611823e-59
metabolite_100001510,0.041900843137244626,7.0479530522430236e-06
metabolite_100001511,0.08482328971501263,1.1571205466036236e-17
metabolite_100001540,0.3781783021387043,7.339149103012548e-135
metabolite_100001541,0.25410054250239666,1.5772530831747782e-78
metabolite_100001550,0.1356657249676788,4.848296959027012e-31
metabolite_100001551,0.11388983002475084,8.737908140442121e-27
metabolite_100001552,0.06847501517956378,1.327848377364529e-12
metabolite_100001553,0.126453852200894,4.990568899409299e-31
metabolite_100001554,0.13748261175938326,4.341459364554438e-34
metabolite_100001556,0.26974987564442643,3.0527922498026377e-83
metabolite_100001557,0.2506416055419487,9.57241222467925e-77
metabolite_100001562,0.16391212683866607,5.531491892678129e-43
metabolite_100001563,0.07371106105298175,9.336215877264032e-14
metabolite_100001566,0.1725726592263509,2.84353938732152e-47
metabolite_100001567,0.1339981649612867,2.1080818503185947e-33
metabolite_100001569,0.10966032951373794,3.402814085677915e-25
metabolite_100001570,0.08711663292796601,2.1781088469826952e-18
metabolite_100001571,0.05071182915366246,3.238375745185641e-08
metabolite_100001577,0.15727588100159162,5.314864085936548e-34
metabolite_100001579,0.10432905045862728,1.311075746165913e-23
metabolite_100001580,0.07385924423314161,7.1564130175122875e-12
metabolite_100001586,0.11995200940726847,2.5440783922687465e-22
metabolite_100001590,0.0690550986220081,9.605447093105962e-11
metabolite_100001593,0.14975425182210922,3.9018946217245417e-38
metabolite_100001597,0.13421182513194785,3.214703872188158e-33
metabolite_100001604,0.040637414793833315,0.0001950097542134006
metabolite_100001605,0.1279075190590513,6.725356344791626e-31
metabolite_100001609,0.12075277598890144,9.905195804524932e-29
metabolite_100001613,0.048491592125198935,1.9704426979465264e-07
metabolite_100001614,0.06018036289525064,1.8229798618095635e-10
metabolite_100001620,0.1047789830169058,1.3280374614847336e-23
metabolite_100001635,0.03658494458532513,0.00045691648151079676
metabolite_100001651,0.0792855017196823,9.355600269141084e-15
metabolite_100001652,0.1222602324802694,9.658255313277177e-29
metabolite_100001654,0.0955530285288112,7.28881818379239e-21
metabolite_100001655,0.07844616485515254,1.5378966456025065e-14
metabolite_100001657,0.054610375395269584,6.139823527046011e-09
metabolite_100001658,0.07273287105973125,1.3613465923629635e-13
metabolite_100001662,0.23882734796574123,1.2800819236291464e-71
metabolite_100001668,0.1664930069562377,2.93659660557022e-44
metabolite_100001674,0.06068817830554285,9.941400021902781e-10
metabolite_100001733,0.05498612544933823,5.837752529401963e-09
metabolite_100001734,0.10729380871510286,2.4765831918210424e-24
metabolite_100001739,0.11349469414495494,2.766275795263619e-26
metabolite_100001740,0.09566453565097832,3.092620435117383e-20
metabolite_100001743,0.12683126050268456,1.0549952469423229e-30
metabolite_100001755,0.05253313465340914,2.051005622730919e-08
metabolite_100001756,0.08650451946582616,4.545672931055812e-18
metabolite_100001757,0.08654405935397691,2.2312698382167047e-17
metabolite_100001776,0.06712472312312334,1.1673844566143182e-11
metabolite_100001777,0.10442340615531076,5.233014942877827e-23
metabolite_100001778,0.06054725845079556,1.2224980860610763e-10
metabolite_100001810,0.11675577847448693,1.0175423768680312e-27
metabolite_100001851,0.11483178477740486,4.0881825699050434e-27
metabolite_100001856,0.05693025353315684,1.3046776611403276e-09
metabolite_100001868,0.10467470503233733,1.8263015283908038e-23
metabolite_100001869,0.10233000642337908,5.874220638970867e-23
metabolite_100001870,0.06799246421367477,1.6113638967225692e-12
metabolite_100001876,0.05644998458039652,1.7456674785102307e-09
metabolite_100001882,0.0770999728010191,3.6092036074170025e-15
metabolite_100001948,0.15248634509719916,9.577802561485983e-39
metabolite_100001950,0.36941697895750214,1.1171329742598906e-130
metabolite_100001951,0.0925538545439456,6.109417322608237e-20
metabolite_100001956,0.0478084243494713,2.3429533651400047e-07
metabolite_100001977,0.23840830806968538,3.690096702369007e-70
metabolite_100001987,0.28800595989910205,6.459616501359387e-92
metabolite_100001988,0.17045895657500187,6.156250671257269e-46
metabolite_100001989,0.06305139964219753,2.9691075590660637e-11
metabolite_100001990,0.03267453266923892,0.0008077037940561932
metabolite_100001992,0.21391295345807781,3.03961595880368e-62
metabolite_100001993,0.23849138354814692,2.259454988600327e-71
metabolite_100001994,0.2983390427506387,1.3613997418666022e-97
metabolite_100001999,0.1804192559135892,2.1705067401909348e-49
metabolite_100002009,0.1938638467284325,2.1983592305525383e-53
metabolite_100002014,0.16473049636722925,1.5923189193901417e-43
metabolite_100002018,0.1671563310624644,1.275854042644546e-42
metabolite_100002021,0.16167300038233146,1.4809085167586718e-35
metabolite_100002024,0.20379687712302585,1.2464010476502128e-51
metabolite_100002026,0.2739294509166552,5.560019384779187e-85
metabolite_100002027,0.32740302225422446,8.871290383747096e-110
metabolite_100002028,0.32022294282512886,9.174956988541694e-106
metabolite_100002029,0.13897147344671257,6.147544936396037e-33
metabolite_100002049,0.05115699499184956,1.2947022516542804e-05
metabolite_100002060,0.1711683076309234,4.845647523768151e-46
metabolite_100002063,0.11463388157091747,4.254591878325661e-27
metabolite_100002067,0.32395848082761425,7.207862841360286e-108
metabolite_100002070,0.058776412465576855,2.35585970688958e-09
metabolite_100002094,0.029250264836901185,0.003044068290261053
metabolite_100002102,0.0952700889873368,7.492867956709677e-21
metabolite_100002106,0.17738191994982733,1.755302651522642e-48
metabolite_100002107,0.07877868147071754,8.92956206381805e-16
metabolite_100002122,0.0458197002342865,9.052366934957803e-07
metabolite_100002126,0.18371095848576946,6.987358582280274e-51
metabolite_100002129,0.25891568968640355,3.7561868810623016e-80
metabolite_100002152,0.16617281350203406,3.5630648002302176e-42
metabolite_100002154,0.17283868890186505,4.605298696009369e-47
metabolite_100002171,0.07522287627588875,4.5344489566978476e-12
metabolite_100002173,0.12225935287078193,2.830926150656403e-29
metabolite_100002185,0.07960502854636586,5.682020878978161e-12
metabolite_100002196,0.12902538404227426,1.9767352377830933e-31
metabolite_100002199,0.057358437913837546,8.368420985419497e-10
metabolite_100002227,0.12277188239980796,2.2335926343680696e-24
metabolite_100002253,0.18478787484135706,1.7887911296077e-47
metabolite_100002259,0.046001073768635825,7.38725271535022e-07
metabolite_100002356,0.1042975833160591,1.47788190364794e-23
metabolite_100002417,0.11297636107860842,4.090634164284076e-24
metabolite_100002458,0.07763643072448345,2.24265622243715e-14
metabolite_100002488,0.098402995274396,3.677620376148459e-21
metabolite_100002514,0.1709673470242551,2.403898156276585e-44
metabolite_100002528,0.10863205000774012,3.932443492928464e-25
metabolite_100002537,0.06156974204121324,1.2073815205806029e-08
metabolite_100002749,0.08163652403853272,8.059676393001247e-17
metabolite_100002761,0.3427194663785026,1.7726816568668686e-116
metabolite_100002769,0.09298783244158015,8.110691428877715e-20
metabolite_100002784,0.10369785853274982,3.351341799438322e-22
metabolite_100002796,0.05677721978908823,1.1412907178022897e-09
metabolite_100002871,0.10588236261335415,3.823830864876764e-24
metabolite_100002875,0.1728842397302539,2.3901787650252543e-47
metabolite_100002876,0.11793471671212552,3.738568368046489e-23
metabolite_100002910,0.11966666263689052,1.6845788074668958e-28
metabolite_100002911,0.0816677239483885,2.493003403750361e-16
metabolite_100002927,0.11751180870685973,3.246647548771082e-27
metabolite_100002951,0.07036326525385161,1.5678698025002326e-13
metabolite_100002952,0.056224795748582856,2.61514913068042e-09
metabolite_100002953,0.10272633478012572,6.447273677595084e-23
metabolite_100002989,0.10761144529006061,1.130556473574226e-24
metabolite_100002990,0.1047008267566818,1.4054837161063012e-23
metabolite_100003000,0.12161862953804103,1.708174489334956e-29
metabolite_100003001,0.13230924362129792,1.3111197808629521e-32
metabolite_100003008,0.06634301112558383,3.840536863744268e-09
metabolite_100003119,0.10975975550435146,1.7659337453046752e-21
metabolite_100003151,0.20147292340935818,4.571013424071066e-57
metabolite_100003169,0.13968953828611552,3.398801482658884e-28
metabolite_100003260,0.07414351417309839,1.4629806712800993e-13
metabolite_100003271,0.05090243406709738,4.281099554308633e-08
metabolite_100003397,0.10902284261169137,2.797885848484826e-25
metabolite_100003434,0.09119278193326774,4.411082843938387e-18
metabolite_100003470,0.20201439230526597,7.422327318803249e-57
metabolite_100003473,0.07001515507649614,8.974380571316385e-10
metabolite_100003594,0.05312531280286892,4.5844556570142835e-08
metabolite_100003686,0.11663652901100052,3.557238612084285e-27
metabolite_100003696,0.16139711425690872,4.4411884816272304e-41
metabolite_100003901,0.09939530664407348,5.347235680203948e-22
metabolite_100003926,0.038629801202919256,0.00017256198497144957
metabolite_100004046,0.4347529748922433,1.0604498632622095e-163
metabolite_100004054,0.10886892273707716,1.0126003701436311e-24
metabolite_100004089,0.11226656488624465,3.627161899059158e-26
metabolite_100004111,0.04946563211377464,1.3104562534762432e-07
metabolite_100004112,0.08539469748913675,1.145921558564836e-16
metabolite_100004182,0.07715984361639805,1.8926519799020127e-11
metabolite_100004208,0.11989743110915929,2.65485230430657e-28
metabolite_100004227,0.12859223626240635,5.4006791578802155e-30
metabolite_100004295,0.16929387643208849,3.939507133618842e-43
metabolite_100004299,0.12480460821610606,2.210849150150613e-25
metabolite_100004322,0.05219355688108529,3.456454417152066e-08
metabolite_100004328,0.11782829356644009,7.09927471913907e-28
metabolite_100004329,0.14215369736820993,4.9549116879731416e-36
metabolite_100004499,0.055724020381023864,2.766878295073137e-09
metabolite_100004509,0.07617521365085689,1.23244276603082e-13
metabolite_100004523,0.12666022649801334,1.277332695469472e-30
metabolite_100004541,0.03827093931901493,6.965058845019921e-05
metabolite_100004542,0.0887150886777569,3.780912530459235e-18
metabolite_100004552,0.1686232349131681,8.631511506317758e-43
metabolite_100004575,0.15015173153106887,1.180192571301967e-35
metabolite_100004635,0.12096205214244815,5.030110217452177e-29
metabolite_100004646,0.056779457762685115,2.0927665695149826e-07
metabolite_100005350,0.08879848710060878,6.200173049355426e-19
