,r2,p
metabolite_35,0.0989481910580241,2.1974575584797173e-20
metabolite_50,0.07286043760195404,2.9121062524423534e-12
metabolite_55,0.06051896607037932,1.339694940054506e-10
metabolite_62,0.12622133304474548,9.488124885749661e-27
metabolite_93,0.10899687109025757,6.134449634461887e-25
metabolite_98,0.16514905592487616,6.8596339076452e-44
metabolite_111,0.06585707775557392,3.5198438417300694e-12
metabolite_112,0.1528755736164994,6.6354268248969645e-40
metabolite_132,0.09224920729867858,1.2439442979782855e-17
metabolite_136,0.049148139546369096,3.8184769034166395e-07
metabolite_158,0.08797904754128527,2.8364950770397735e-18
metabolite_171,0.090761388046954,1.375233863261289e-19
metabolite_179,0.06754052649862696,1.3486976247251488e-10
metabolite_180,0.09440711373684807,1.3859279732017843e-20
metabolite_181,0.12364775004226747,1.1821516698868867e-29
metabolite_182,0.184300973940408,2.4617231197766556e-48
metabolite_189,0.11362219298202725,1.472757977601164e-26
metabolite_192,0.075663676845242,7.453328888852196e-15
metabolite_194,0.09315469927392062,3.672291994527303e-20
metabolite_197,0.2251533802965341,5.661438007336131e-61
metabolite_209,0.15681922080452126,3.7276851153302464e-41
metabolite_212,0.14671631806763152,2.618933849286369e-36
metabolite_229,0.08466509305720105,1.5005182629360096e-17
metabolite_231,0.03390321488930803,0.0003751050778422568
metabolite_234,0.1753346927144368,1.3533769726565495e-48
metabolite_240,0.22982807250098258,9.576563420699751e-69
metabolite_241,0.1268743170383404,1.2264623705514206e-30
metabolite_244,0.10582527159496569,3.98706812419508e-24
metabolite_250,0.16585475817453643,1.9656649794338681e-44
metabolite_252,0.06279074325456302,3.1537799478762404e-11
metabolite_254,0.021134763760732977,0.08038186858538261
metabolite_266,0.0899917065295639,3.8560805033645544e-19
metabolite_267,0.08206037379488762,1.383690753969619e-16
metabolite_273,0.1923229872246467,1.0917988001332172e-54
metabolite_275,0.3370724342263165,4.829412099770896e-115
metabolite_278,0.25266725163557724,6.167940773314479e-73
metabolite_279,0.20423592024092208,1.412420100750622e-58
metabolite_297,0.12518735214023569,1.7876934624995138e-30
metabolite_302,0.03516648885337381,0.0009398178028864674
metabolite_313,0.12066435208748527,1.5842349848017612e-28
metabolite_330,0.07113211697498356,2.5611748333513783e-13
metabolite_331,0.22191393096955447,1.0056063728347255e-60
metabolite_338,0.1339094631471629,1.982594168334871e-33
metabolite_339,0.08137424655466419,6.9153776459467526e-15
metabolite_340,0.14505229193711267,3.5017739586784565e-37
metabolite_342,0.057732718121456306,5.034338595512303e-10
metabolite_344,0.1415538205386504,5.2338246388843177e-36
metabolite_355,0.11980923385472353,7.195692408571187e-29
metabolite_356,0.1399373487464265,1.330397157431762e-35
metabolite_358,0.11849963347316095,2.5112001871572075e-22
metabolite_361,0.05583299494973537,9.599589204849813e-08
metabolite_363,0.12244821948142148,2.4541792532291472e-29
metabolite_376,0.2999683143043128,4.310410431914857e-98
metabolite_391,0.14425246863289942,7.101556857870158e-37
metabolite_397,0.2991674021154419,1.630367839637456e-97
metabolite_407,0.07167564947662464,9.495395936789927e-14
metabolite_409,0.08312321921291543,4.0238584045399385e-17
metabolite_415,0.1203597829469687,8.904232732583212e-29
metabolite_424,0.0884921514507917,6.056902548246942e-19
metabolite_432,0.10106503975966408,1.0094634331855481e-22
metabolite_439,0.048045237210638914,1.705642785216606e-07
metabolite_444,0.23927113145376255,4.4403954567374724e-72
metabolite_445,0.059947407565001276,1.7755501979255608e-10
metabolite_452,0.2249399253644695,1.191892594678143e-66
metabolite_460,0.12927136965445052,7.732118710516825e-32
metabolite_461,0.09982129843153431,6.52493268256615e-22
metabolite_480,0.13257300912453962,7.75001674080925e-33
metabolite_482,0.18997259800012256,6.666597522293889e-53
metabolite_491,0.17151784054922892,1.932439046741376e-41
metabolite_498,0.1575705562739489,2.1937731574970577e-41
metabolite_501,0.05026485516754198,1.1927894811970123e-07
metabolite_503,0.11911832330120753,1.6166144653928776e-28
metabolite_504,0.12610234547442445,5.090743314999658e-28
