Run,Bases,BioProject,Bytes,stool_sample_id,public_client_id,genome_id,blood_sample_id,blood_days_in_program,stool_days_in_program
SRR18747646,71961198,PRJNA826530,45971617,AV15-1017,01074934,A941AR526-005,A941AR570-002,15,15
SRR18748817,118717970,PRJNA826648,66187801,22001612561397,01075262,DS-278922,A439BJ907-005,31,5
SRR18748863,157548860,PRJNA826648,89674763,22001612560585,01075315,DS-267558,A972BH504-003,15,7
SRR18748830,172548215,PRJNA826648,92778393,22001612561094,01076617,DS-280507,A926BI517-002,22,14
SRR18748805,136697085,PRJNA826648,74006472,22001612561923,01077349,DS-280425,A860BI225-002,17,12
SRR18748803,149001685,PRJNA826648,83402082,22001612561972,01078359,DS-280672,A020BJ334-002,7,5
SRR18747958,87537254,PRJNA826530,55048950,AV15-1383,01078370,A162AU035-007,A162AU087-002,13,13
SRR27023181,80562466,PRJNA1047679,52088930,AV15-1332,01080526,A017AU877-007,A018AU015-002,13,13
SRR18749406,93742845,PRJNA826648,51638051,22001612561417,01081740,DS-272293,A630BH436-003,4,11
SRR18748115,69743864,PRJNA826530,38504914,AV15-1322,01081754,A214AW433-007,A619AT719-002,37,37
SRR18747852,62935238,PRJNA826530,39976105,AV15-3459,01082166,DS-244213,A203BA131-003,2,5
SRR18748833,123613630,PRJNA826648,72591255,22001612561282,01082219,DS-268866,A202BI334-023,29,42
SRR18747487,85809370,PRJNA826530,54418965,AV15-1204,01082690,A950AS422-005,A950AS444-002,44,44
SRR18747893,65526060,PRJNA826530,41153470,AV15-1047,01083254,A943AR067-005,A943AR106-002,23,23
SRR18747824,84293330,PRJNA826530,52645126,AV15-2490,01083356,DS-244207,A843AZ253-002,8,17
SRR18747932,84269736,PRJNA826530,55132637,AV15-1638,01083540,A626AV125-006,A626AV138-002,19,21
SRR18748005,128656576,PRJNA826530,81271369,AV15-1935,01083971,DS-228261,A197AX078-002,30,27
SRR18747894,143481138,PRJNA826530,92191256,AV15-2182,01084262,DS-228181,A197AX171-002,17,19
SRR18747828,71338216,PRJNA826530,44945848,AV15-2467,01084760,DS-244306,A904AZ185-002,8,13
SRR18749132,94083780,PRJNA826648,58818622,22001612562327,01084848,DS-267228,A862BF356-006,15,16
SRR18748821,127972600,PRJNA826648,70913663,22001612561362,01084936,DS-280712,A020BJ276-002,17,7
SRR18748076,82183424,PRJNA826530,55350084,AV15-1424,01088158,A046AU731-007,A046AU761-002,13,13
SRR18748077,80044904,PRJNA826530,54488670,AV15-1415,01089482,A017AU897-007,A017AU999-002,38,38
SRR18747369,69232326,PRJNA826530,39178109,AV15-1269,01090306,A531AT512-005,A531AT543-002,63,63
SRR18748873,151250190,PRJNA826648,83013688,22001701512219,01090699,DS-267577,A972BH508-002,15,3
SRR18747620,58316336,PRJNA826530,35476751,AV15-1939,01090838,A115AW809-006,A115AW834-002,47,69
SRR18747546,58339930,PRJNA826530,34841212,AV15-3629,01090966,DS-244323,A904AZ101-002,16,3
SRR18748785,222350905,PRJNA826648,125327029,22001612561136,01095263,DS-280703,A020BJ333-002,7,10
SRR18748757,144339366,PRJNA826648,82526154,22001612560690,01095550,DS-268177,A421BG176-003,12,18
SRR27023124,70192745,PRJNA1047679,44294725,22001612560515,01095708,DS-265989,A579BF702-009,8,10
SRR18747888,86621606,PRJNA826530,56011592,AV15-1947,01095898,DS-228178,A197AX169-002,34,45
SRR18749355,153423130,PRJNA826648,90521638,22001612562175,01096250,DS-268860,A202BI304-014,28,39
SRR18748765,233502990,PRJNA826648,138003838,22001612562457,01096598,DS-280653,A020BJ363-002,5,4
SRR18748038,115635198,PRJNA826530,75957811,AV15-1634,01097466,A792AV137-006,A704AV963-002,106,113
SRR18749307,69623330,PRJNA826648,42959893,22001612562398,01097616,DS-265420,A137BG457-003,21,15
SRR18748945,145741085,PRJNA826648,87457467,22001612560293,01098111,DS-268731,A447BH913-003,8,12
SRR27023277,55726016,PRJNA1047679,31607785,AV15-1285,01098690,A567AW280-006,A726AT955-002,64,63
SRR18749190,120762080,PRJNA826648,66107967,22001612561754,01098708,DS-268227,A007BG463-003,18,28
SRR18747774,73784964,PRJNA826530,47230569,AV15-1088,01099670,A040AV074-007,A428AS857-002,36,36
SRR18749311,98186900,PRJNA826648,59356918,22001612560896,01099707,DS-268857,A202BI298-002,32,32
SRR18747837,101208220,PRJNA826530,61809419,AV15-3896,01100090,DS-243915,A904AZ376-002,9,8
SRR18749038,230243580,PRJNA826648,148911977,22001701510706,01100470,DS-291214,A132BK214-002,12,12
SRR27023117,85885275,PRJNA1047679,50222417,22001612561493,01100787,DS-269076,A972BH505-002,16,16
SRR18749349,148892800,PRJNA826648,91604395,22001612560127,01101818,DS-278388,A546BI361-003,25,22
SRR18747922,98934662,PRJNA826530,65037771,AV15-1676,01104223,A477AV508-007,A477AV565-002,6,8
SRR18747514,66975836,PRJNA826530,42705284,AV15-3527,01104524,DS-265088,A280BF429-003,15,12
SRR18749062,220356465,PRJNA826648,128988592,22001612562170,01104998,DS-282244,A313BJ138-009,21,24
SRR27023242,63367962,PRJNA1047679,39099788,AV15-3562,01107786,DS-244379,A904AZ102-002,16,4
SRR18747500,80389276,PRJNA826530,51805575,AV15-1173,01108278,A000AV127-007,A936AS464-002,44,44
SRR18748020,75450600,PRJNA826530,45802288,AV15-1892,01108803,DS-228767,A939AW402-002,28,29
SRR18747635,68173106,PRJNA826530,42018904,AV15-1035,01108982,DS-228701,A976AR214-002,29,29
SRR18749268,124050557,PRJNA826648,68452448,22001612560290,01109152,DS-265963,A579BF607-003,7,25
SRR18747632,64616938,PRJNA826530,38897843,AV15-1659,01109676,A847AU006-007,A847AU057-002,17,17
SRR18748784,217397530,PRJNA826648,121307583,22001612561154,01110511,DS-280644,A020BJ361-009,13,22
SRR18748984,203011025,PRJNA826648,109803259,22001612560870,01110652,DS-268747,A447BH907-003,10,10
SRR18747431,112710546,PRJNA826530,71865479,AV15-1373,01110829,A253AU391-007,A253AU408-002,13,13
SRR27023152,132238346,PRJNA1047679,86037951,AV15-2041,01112759,DS-228174,A408AX154-002,70,73
SRR27023168,86303840,PRJNA1047679,54754708,AV15-1386,01114138,A253AU393-007,A253AU413-002,25,25
SRR18748008,139294960,PRJNA826530,88424538,AV15-1905,01115747,DS-232566,A939AW109-002,26,46
SRR27022994,154033005,PRJNA1047679,88025374,22001612560009,01116419,DS-271188,A089BI676-014,24,9
SRR18747787,84436902,PRJNA826530,53841848,AV15-3695,01116698,DS-243697,A904AZ534-002,5,20
SRR18747789,57212940,PRJNA826530,36459611,AV15-3618,01117506,DS-243976,A904AZ353-002,7,24
SRR18748107,202695050,PRJNA826530,124747785,AV15-1026,01117654,A941AR613-005,A941AR597-002,14,14
SRR18749418,80644515,PRJNA826648,40717970,22001612561637,01117666,DS-270276,A168BH881-003,16,13
SRR18747921,99004942,PRJNA826530,64348382,AV15-1677,01117807,A479AV429-006,A479AV461-002,8,12
SRR18748965,129273270,PRJNA826648,84016907,22001612560925,01119219,DS-288704,A265BK922-002,6,9
SRR27023267,187547570,PRJNA1047679,102849543,22001612561534,01119799,DS-279067,A566BJ829-009,43,64
SRR18749264,159385625,PRJNA826648,94831552,22001612561114,01121094,DS-280624,A313BJ209-009,27,28
SRR18749486,79885890,PRJNA826648,45032446,22001803513740,01121281,DS-297564,A581BM425-003,14,16
SRR18747946,92722412,PRJNA826530,58754646,AV15-1437,01122946,A017AU935-007,A018AU027-002,30,30
SRR18747458,57137138,PRJNA826530,31839798,AV15-1261,01124438,A115AW814-006,A531AT545-002,50,50
SRR18749101,72108050,PRJNA826648,42144439,22001612561830,01125510,DS-264732,A286BI618-003,11,10
SRR18747551,53222542,PRJNA826530,31986613,AV15-3493,01125762,DS-244227,A904AZ476-002,6,3
SRR27023272,130047960,PRJNA1047679,84731495,22001701512551,01125820,DS-282679,A945BJ527-008,20,39
SRR18748884,120666595,PRJNA826648,67024904,22001612562286,01126228,DS-267611,A901BH564-002,19,7
SRR18748843,157785670,PRJNA826648,92342354,22001612560612,01126385,DS-264705,A286BI648-006,4,5
SRR27022989,93716665,PRJNA1047679,59339952,22001612560146,01126611,DS-269087,A972BH535-003,21,23
SRR18747733,80597104,PRJNA826530,52425274,AV15-1220,01126906,A875AS585-005,A875AS607-002,65,65
SRR27023130,61113045,PRJNA1047679,38305751,22001612560243,01127076,DS-267272,A862BF091-009,9,8
SRR18749398,115011120,PRJNA826648,63386060,22001612561729,01127950,DS-267528,A972BH466-002,15,4
SRR18749128,87645880,PRJNA826648,50911219,22001701510606,01128019,DS-265197,A089BI802-002,25,14
SRR27023133,69360336,PRJNA1047679,43708343,AV15-4368,01128104,DS-265085,A168BF743-003,16,13
SRR18749441,59521420,PRJNA826648,30028263,22001612560395,01129252,DS-269500,A808BG281-003,9,8
SRR27023196,117444075,PRJNA1047679,68298347,22001612562103,01129287,DS-280896,A020BJ337-002,5,5
SRR18747618,76150890,PRJNA826530,47020617,AV15-1942,01129657,DS-232520,A057AX418-002,23,24
SRR18747565,84455476,PRJNA826530,55032582,AV15-1632,01130217,A704AV882-006,A704AV966-002,7,7
SRR18749214,138562410,PRJNA826648,89822350,22001701511986,01131525,DS-285358,A404BK457-002,22,28
SRR18748887,163667245,PRJNA826648,89309826,22001612562224,01131755,DS-267571,A972BH377-002,15,5
SRR18747783,66577750,PRJNA826530,42689092,AV15-3723,01131862,DS-244329,A904AZ328-002,9,15
SRR27023032,70745500,PRJNA1047679,37931598,22001701510553,01133488,DS-267262,A097BM070-002,416,441
SRR18747725,142182464,PRJNA826530,91035276,AV15-1036,01134186,A976AR204-005,A976AR219-002,29,29
SRR18747686,98018010,PRJNA826530,65790776,AV15-1497,01134564,A046AU692-007,A046AU735-002,13,13
SRR18748855,80048920,PRJNA826648,47478722,22001612562237,01134627,DS-268626,A089BI611-002,26,36
SRR27023059,51563890,PRJNA1047679,31725171,22001612561584,01134952,DS-267224,A862BF247-003,11,18
SRR18748049,84399754,PRJNA826530,53263673,AV15-1417,01134972,A741AU386-007,A741AU418-002,14,14
SRR27023164,94420678,PRJNA1047679,59491901,AV15-1508,01135099,A741AU393-007,A741AU424-002,6,6
SRR18748806,132943825,PRJNA826648,74516137,22001612561859,01135208,DS-282052,A146BJ737-002,17,9
SRR18749271,302793715,PRJNA826648,179458487,22001612560560,01135434,DS-279340,A179BJ664-002,7,12
SRR27022986,98278530,PRJNA1047679,58221524,22001612560343,01135564,DS-278412,A380BI988-003,73,43
SRR27023261,55478530,PRJNA1047679,32931365,AV15-1904,01136823,DS-232492,A057AX441-002,15,45
SRR27023216,187363715,PRJNA1047679,104118631,22001612561786,01137764,DS-272027,A630BH260-003,61,40
SRR27023244,66518012,PRJNA1047679,40298557,AV15-3720,01138494,DS-243935,A904AZ296-002,12,3
SRR27023278,131644345,PRJNA1047679,85736943,22001612561019,01139462,DS-290559,A038BK958-002,105,115
SRR18747937,94229918,PRJNA826530,60040996,AV15-1474,01139586,A107AU168-007,A107AU125-002,18,18
SRR18748819,112012320,PRJNA826648,64008762,22001612561372,01139724,DS-279873,A860BI597-002,3,10
SRR18747406,106913450,PRJNA826530,65453530,AV15-3692,01139766,DS-243888,A904AZ336-002,9,8
SRR18747662,92685264,PRJNA826530,58151765,AV15-1509,01139799,A578AU698-007,A578AU701-002,18,18
SRR18747427,108574568,PRJNA826530,67608002,AV15-3491,01140554,DS-243965,A904AZ247-002,12,5
SRR18748923,180680080,PRJNA826648,109799956,22001612561801,01140660,DS-268727,A447BH882-003,9,12
SRR18749224,151386445,PRJNA826648,98504922,22001701510756,01141322,DS-293487,A581BK424-002,18,41
SRR18749257,103110407,PRJNA826648,59680062,22001612560341,01141375,DS-269621,A550BG577-003,30,31
SRR18748742,208580225,PRJNA826648,113602484,22001701510367,01142225,DS-282727,A850BJ146-003,14,7
SRR27023016,87282740,PRJNA1047679,59454443,AV15-1284,01142326,A548AT602-004,A548AT613-002,70,70
SRR18747467,60431262,PRJNA826530,34006634,AV15-1205,01142874,A950AS420-005,A950AS441-002,70,70
SRR18749168,62403005,PRJNA826648,33533766,22001612562309,01143086,DS-270813,A962BG831-003,4,7
SRR27022981,103665065,PRJNA1047679,62171466,22001612562440,01144986,DS-269096,A972BH474-002,16,17
SRR18749285,126849240,PRJNA826648,73276573,22001612561336,01145585,DS-279385,A179BJ660-002,38,9
SRR18747660,91345928,PRJNA826530,56948385,AV15-1513,01146628,A538AU200-007,A538AU225-002,23,23
SRR27023127,69087235,PRJNA1047679,43881558,22001612560430,01146647,DS-267273,A862BF243-003,7,14
SRR18748918,69935705,PRJNA826648,44301926,22001612561852,01147280,DS-267286,A862BF085-009,8,7
SRR18749051,197732185,PRJNA826648,115229847,22001612561567,01147722,DS-278861,A439BJ902-002,30,37
SRR18749099,91577045,PRJNA826648,56589098,22001612561865,01147813,DS-272129,A286BI592-003,112,124
SRR18749413,111442310,PRJNA826648,61634431,22001612561251,01147944,DS-269078,A972BH486-009,21,8
SRR27023179,98850326,PRJNA1047679,63139341,AV15-1342,01148226,A046AU724-007,A046AU748-002,8,8
SRR18747874,83221560,PRJNA826530,50208468,AV15-3762,01148342,DS-243904,A904AZ385-002,9,2
SRR18747943,92755544,PRJNA826530,58986647,AV15-1445,01148790,A042AU518-007,A042AU577-002,32,32
SRR18747777,89724468,PRJNA826530,56109693,AV15-3800,01148826,DS-243944,A904AZ297-002,12,10
SRR18747985,121132098,PRJNA826530,78817591,AV15-2188,01148961,DS-228707,A750AX327-002,11,16
SRR27023098,204732955,PRJNA1047679,126478746,22001612561544,01149874,DS-279001,A860BI515-002,23,4
SRR18747381,72870840,PRJNA826530,44414666,22001612560328,01149887,DS-265459,A007BG716-010,15,5
SRR18749466,84949340,PRJNA826648,52975193,22001612561577,01150256,DS-265770,A579BF698-015,8,7
SRR18747657,71074666,PRJNA826530,44507335,AV15-1010,01150634,A976AR211-005,A976AR226-002,12,12
SRR18748027,69801092,PRJNA826530,42402249,AV15-1600,01151166,A477AV492-006,A477AV542-002,20,49
SRR18748026,66382472,PRJNA826530,40934078,AV15-1617,01152022,A704AV889-006,A704AV975-002,38,57
SRR18747820,264602694,PRJNA826530,163279627,AV15-1007,01152098,A941AR617-005,A941AR601-002,16,16
SRR18749080,128695525,PRJNA826648,70484161,22001612560294,01154257,DS-280503,A926BI427-004,18,18
SRR27023026,105078190,PRJNA1047679,55708803,22001805511946,01154691,DS-268847,A704BN806-005,407,410
SRR18749297,182516250,PRJNA826648,103280248,22001612560126,01154821,DS-279882,A860BI909-002,10,6
SRR27023082,89473970,PRJNA1047679,58326963,AV15-1651,01155163,A741AU370-007,A741AU417-002,9,37
SRR18748007,124109460,PRJNA826530,79106613,AV15-1912,01156139,DS-228202,A197AX116-002,40,42
SRR18747512,83876168,PRJNA826530,53445505,AV15-3628,01156249,DS-265403,A168BF777-003,22,21
SRR18748900,109739420,PRJNA826648,60758314,22001612560797,01157208,DS-268049,A203BI311-003,35,9
SRR18747688,94346884,PRJNA826530,63215268,AV15-1494,01157462,A042AU525-007,A042AU548-002,19,19
SRR18747402,66435684,PRJNA826530,41289931,AV15-3733,01157578,DS-243980,A902AZ327-002,13,7
SRR27023251,45927478,PRJNA1047679,27295416,AV15-2027,01158279,DS-161694,A903AX559-002,91,109
SRR18749161,74975950,PRJNA826648,37869898,22001612562471,01159150,DS-269284,A055BH102-007,9,26
SRR18747854,65095846,PRJNA826530,41459038,AV15-1185,01159226,A981AU857-007,A428AS812-002,30,30
SRR27023264,253864412,PRJNA1047679,157594210,AV15-1004,01159906,A941AR616-005,A941AR599-002,16,16
SRR18749305,69432930,PRJNA826648,41154048,22001612561247,01161402,DS-268033,A202BI940-003,30,35
SRR18748929,81400760,PRJNA826648,49705819,22001612561044,01162879,DS-270727,A498BH934-003,14,10
SRR18747833,91515604,PRJNA826530,55314326,AV15-3935,01165498,DS-244377,A904AZ348-002,8,5
SRR18747678,87519182,PRJNA826530,59195792,AV15-1528,01165590,A017AU926-007,A018AU020-002,11,11
SRR27023006,121675715,PRJNA1047679,67825145,22001612560042,01166579,DS-271213,A089BI660-003,23,4
SRR18748936,165496275,PRJNA826648,100095408,22001612560619,01166603,DS-270287,A168BH907-003,25,45
SRR27023054,79716910,PRJNA1047679,51002126,22001612562123,01167016,DS-265745,A862BF425-003,9,7
SRR18748954,130067000,PRJNA826648,84290171,22001612562462,01167099,DS-290858,A132BK186-002,3,12
SRR18748902,116570615,PRJNA826648,63870430,22001612560598,01167651,DS-269040,A972BH533-002,21,9
SRR18747476,63448784,PRJNA826530,34809846,AV15-1105,01167786,A369AW943-006,A536AT446-002,70,70
SRR18747441,244778714,PRJNA826530,153133198,AV15-1049,01168610,A968AR536-005,A968AR549-002,26,26
SRR18748860,86368415,PRJNA826648,50814765,22001612562127,01168878,DS-268115,A202BI976-002,30,30
SRR18748911,137465825,PRJNA826648,84310421,22001612562632,01171221,DS-268753,A447BH903-003,17,21
SRR18749033,110864088,PRJNA826648,62440136,22001612560862,01171818,DS-269624,A550BG507-003,24,21
SRR27023192,194727435,PRJNA1047679,112059951,22001612560648,01172809,DS-283189,A439BJ896-002,63,42
SRR27023175,83431898,PRJNA1047679,54468146,AV15-1410,01173174,A042AU511-007,A042AU546-002,8,8
SRR18749328,97482420,PRJNA826648,58005544,22001612560389,01173245,DS-271164,A089BI535-002,14,22
SRR18748969,145116930,PRJNA826648,79452404,22001612562640,01173930,DS-268748,A447BH893-007,28,21
SRR18749028,230346515,PRJNA826648,142977054,22001701511657,01174400,DS-291532,A945BJ547-008,13,14
SRR18747949,103125860,PRJNA826530,65126573,AV15-1401,01174518,A042AU532-007,A042AU545-002,32,32
SRR27023001,158061750,PRJNA1047679,86576804,22001612560920,01175411,DS-267589,A972BH411-023,19,9
SRR18747609,76328598,PRJNA826530,47075981,AV15-1980,01175699,DS-228786,A938AW974-002,27,16
SRR27022976,240790550,PRJNA1047679,143087885,22001612560512,01176588,DS-291650,A945BJ419-008,78,62
SRR18747734,86748110,PRJNA826530,55199245,AV15-1157,01177122,A473AS954-005,A473AS991-002,42,42
SRR18749341,67326035,PRJNA826648,42300737,22001612562548,01177180,DS-267244,A862BF388-009,12,11
SRR27023030,87427515,PRJNA1047679,49565920,22001803513473,01178677,DS-269561,A581BM818-003,428,446
SRR18749331,87314465,PRJNA826648,52065283,22001612560286,01179608,DS-271904,A901BH731-003,36,50
SRR27023031,69215160,PRJNA1047679,38535246,22001701512279,01179898,DS-268522,A308BM821-002,420,435
SRR18748882,99008000,PRJNA826648,54546240,22001612562476,01180272,DS-268864,A203BI306-002,35,10
SRR18749070,127314530,PRJNA826648,73461772,22001612561010,01180825,DS-277427,A776BI371-003,8,21
SRR18747401,14550470,PRJNA826530,9219271,AV15-3742,01182274,DS-244307,A904AZ386-002,9,10
SRR18747853,49704024,PRJNA826530,30406876,AV15-2517,01182288,DS-244198,A904AZ469-002,12,19
SRR18747742,77313110,PRJNA826530,48049569,22001612561098,01182576,DS-267304,A862BF382-010,14,11
SRR27023010,107729702,PRJNA1047679,73952570,AV15-1471,01183722,A042AU513-007,A042AU578-002,64,64
SRR18747926,78791912,PRJNA826530,50962389,AV15-1666,01183855,A595AV274-006,A595AV338-002,13,16
SRR18749471,93415595,PRJNA826648,54604607,22001805511738,01184006,DS-268914,A851BN516-005,413,398
SRR18747727,85849028,PRJNA826530,55354815,AV15-1230,01184674,A981AU866-007,A428AS809-002,31,31
SRR18747696,231368788,PRJNA826530,148158586,AV15-1031,01186158,A941AR723-005,A941AR775-002,14,14
SRR18748788,207345005,PRJNA826648,115360005,22001612561123,01186567,DS-280727,A020BJ314-002,7,10
SRR18748937,217038150,PRJNA826648,130529281,22001612560547,01189255,DS-268750,A447BH877-007,5,14
SRR18749367,146722240,PRJNA826648,82955020,22001612561617,01189651,DS-265267,A089BI798-002,22,11
SRR27023135,88178308,PRJNA1047679,58232419,AV15-2372,01191062,A042AU534-007,A783BB434-002,361,375
SRR18747649,116660784,PRJNA826530,72459602,AV15-1656,01191451,A847AU023-007,A847AU064-002,7,7
SRR27023285,166457200,PRJNA1047679,90434592,22001701510359,01192068,DS-280273,A439BJ748-002,5,20
SRR18748752,155784685,PRJNA826648,83843336,22001612561137,01192338,DS-279255,A653BJ486-002,41,68
SRR18747475,55882640,PRJNA826530,30788604,AV15-1111,01192442,A536AT432-004,A536AT445-002,17,17
SRR18748122,76219162,PRJNA826530,43005377,AV15-1278,01193250,A548AT600-004,A548AT611-002,72,72
SRR18749407,142498930,PRJNA826648,79437328,22001612561364,01193358,DS-267548,A972BH517-022,16,3
SRR27023011,233517850,PRJNA1047679,147004617,AV15-1015,01194014,337689,A934AR240-002,19,19
SRR27023110,94697820,PRJNA1047679,57116723,22001612562322,01194198,DS-267606,A901BH554-003,32,33
SRR18749234,226319555,PRJNA826648,144024973,22001612560195,01195713,DS-288672,A132BK541-002,11,7
SRR18749236,141141735,PRJNA826648,79009763,22001701511725,01195760,DS-291611,A945BJ320-002,15,9
SRR18748787,182889315,PRJNA826648,105971820,22001612561131,01196562,DS-281337,A146BJ690-011,9,11
SRR18748773,225428840,PRJNA826648,126698894,22001612561463,01196748,DS-279151,A926BI355-002,10,26
SRR18749280,60623360,PRJNA826648,39617674,22001612562577,01197268,DS-267222,A862BF312-003,10,7
SRR18748793,161895335,PRJNA826648,91574444,22001612560904,01197529,DS-280699,A020BJ331-002,24,31
SRR27023255,67951222,PRJNA1047679,40620186,AV15-2091,01197738,DS-232950,A011AZ559-002,33,20
SRR27022984,93324560,PRJNA1047679,55472309,22001612560489,01197763,DS-269100,A972BH434-003,21,27
SRR27023254,46920936,PRJNA1047679,27357936,AV15-2126,01198512,DS-162022,A903AX675-002,17,14
SRR27023020,138364275,PRJNA1047679,77970873,22001805511646,01198770,DS-283161,A021BP586-003,425,433
SRR18749385,64229060,PRJNA826648,40192422,22001612562169,01198896,DS-268590,A137BG381-008,22,5
SRR18749154,32682755,PRJNA826648,17073713,22001612562604,01199581,DS-269472,A808BG153-003,20,28
SRR18747694,101580704,PRJNA826530,68272202,AV15-1470,01200234,A042AU539-007,A042AU542-002,33,33
SRR18747418,96912606,PRJNA826530,60390926,AV15-3640,01200286,DS-243956,A904AZ338-002,8,6
SRR18749239,179579330,PRJNA826648,98042769,22001701511491,01200724,DS-289117,A038BK932-006,20,15
SRR18747724,119280220,PRJNA826530,78287351,AV15-1122,01200802,A040AV064-007,A928AS391-002,18,18
SRR18748970,149818620,PRJNA826648,81244524,22001612562466,01201277,DS-270257,A168BH964-003,37,47
SRR18748858,66707830,PRJNA826648,40339780,22001612562215,01202147,DS-268904,A202BI318-002,29,39
SRR18749429,47235860,PRJNA826648,24812413,22001612560875,01202481,DS-270775,A965BG116-003,31,30
SRR18748779,184620170,PRJNA826648,103062121,22001612561290,01202486,DS-279381,A179BJ589-008,19,10
SRR18747730,85996616,PRJNA826530,54879461,AV15-1225,01202606,A428AS740-005,A428AS844-002,41,41
SRR27023108,112941710,PRJNA1047679,67397982,22001612561053,01203001,DS-268037,A202BI801-005,25,26
SRR18747855,153169236,PRJNA826530,98908797,AV15-1061,01203070,A941AR521-005,A941AR561-002,14,14
SRR18749141,124230050,PRJNA826648,72584119,22001612562225,01204364,DS-267603,A972BH405-003,20,19
SRR18749379,163812425,PRJNA826648,92048790,22001612561250,01206131,DS-267576,A972BH497-019,18,15
SRR18748110,104686578,PRJNA826530,70817990,AV15-1120,01206146,A597AT744-005,A597AT758-002,82,82
SRR18747396,60169375,PRJNA826530,37170192,22001612560096,01206460,DS-267232,A862BF257-003,11,12
SRR18748986,100353295,PRJNA826648,55132460,22001612560800,01207801,DS-270283,A169BH000-003,4,17
SRR18747849,89631096,PRJNA826530,55155658,AV15-3488,01207810,DS-244334,A904AZ308-002,9,7
SRR18747698,96780078,PRJNA826530,65989898,AV15-1457,01207898,A046AU729-007,A046AU768-002,23,23
SRR18747779,83405794,PRJNA826530,52935162,AV15-3779,01208014,DS-243941,A904AZ254-002,12,14
SRR18749320,94897740,PRJNA826648,56538773,22001612560604,01208152,DS-269094,A972BH429-008,7,3
SRR18747667,92405650,PRJNA826530,57383781,AV15-1500,01209192,A741AU389-007,A741AU419-002,21,21
SRR18747979,55223012,PRJNA826530,32748873,AV15-1907,01209902,DS-228204,A197AX032-002,30,57
SRR18747866,87007142,PRJNA826530,56156849,AV15-1146,01210174,A477AV502-006,A473AS997-002,33,33
SRR18748829,138103070,PRJNA826648,77395301,22001612561095,01211111,DS-280728,A020BJ297-002,10,12
SRR27023089,263238258,PRJNA1047679,167657830,AV15-1077,01211854,A968AR532-005,A968AR546-002,28,28
SRR27023003,86026885,PRJNA1047679,47978846,22001612560644,01212044,DS-267533,A089BI631-002,22,13
SRR18747572,89635614,PRJNA826530,58897387,AV15-1614,01213338,A626AV123-006,A626AV146-002,10,19
SRR27023063,70778225,PRJNA1047679,44560817,22001612561030,01214204,DS-265983,A579BF613-003,8,7
SRR18749050,227637480,PRJNA826648,131302556,22001612561884,01214846,DS-282311,A179BJ687-009,19,42
SRR18748053,81003724,PRJNA826530,50656032,AV15-1382,01217066,A294AU439-007,A294AU417-002,27,27
SRR18749057,186789540,PRJNA826648,113779153,22001701511942,01217376,DS-280284,A439BJ763-002,4,4
SRR18747924,83486114,PRJNA826530,53743524,AV15-1672,01217388,A479AV441-006,A479AV471-002,10,10
SRR18747748,61389720,PRJNA826530,38175877,22001612560936,01217679,DS-267266,A862BF470-003,9,11
SRR18749243,187107270,PRJNA826648,101952510,22001701511379,01218073,DS-284621,A773BJ912-002,5,12
SRR18748990,88535405,PRJNA826648,49331296,22001612560689,01218722,DS-268816,A447BH904-003,30,20
SRR18747605,78113710,PRJNA826530,48386511,AV15-1990,01218819,DS-232555,A939AW332-002,27,26
SRR18747503,103554568,PRJNA826530,66706071,AV15-1165,01219230,A875AS592-005,A875AS611-002,62,62
SRR18747810,61385564,PRJNA826530,35950337,AV15-2194,01221140,DS-228191,A408AX064-002,4,24
SRR27023281,226384410,PRJNA1047679,142014501,22001701511637,01221266,DS-289136,A038BK912-002,27,28
SRR18749116,73452750,PRJNA826648,46758292,22001612562429,01221476,DS-268171,A421BG096-003,31,6
SRR18749253,201687150,PRJNA826648,118498890,22001612561862,01221559,DS-279366,A179BJ654-002,23,24
SRR27023043,118797019,PRJNA1047679,66915547,22001612560474,01221615,DS-268610,A137BG477-005,17,22
SRR27023253,59126564,PRJNA1047679,35578746,AV15-2196,01221916,DS-233664,A011AZ568-002,130,116
SRR27023096,155623440,PRJNA1047679,89117038,22001612560703,01222182,DS-279855,A860BI981-009,28,27
SRR18748892,113117830,PRJNA826648,61293804,22001612560968,01222611,DS-271174,A089BI532-002,27,6
SRR18749093,160723185,PRJNA826648,93173822,22001612562141,01224453,DS-279872,A860BI580-007,10,5
SRR18747936,108080098,PRJNA826530,68753974,AV15-1477,01224634,A042AU520-007,A042AU569-002,8,8
SRR18749103,80144120,PRJNA826648,47372598,22001612561770,01225255,DS-268041,A203BI303-007,14,7
SRR18749277,101316600,PRJNA826648,59254846,22001612561587,01226325,DS-277230,A776BI452-003,10,10
SRR18747746,67944240,PRJNA826530,42286940,22001612560975,01226780,DS-268317,A007BG444-005,15,5
SRR18749362,73445610,PRJNA826648,45949540,22001612562194,01226903,DS-267249,A862BF079-003,7,10
SRR18749287,159324340,PRJNA826648,90462942,22001612561203,01227044,DS-280909,A926BI697-009,19,5
SRR18747461,58790726,PRJNA826530,33670477,AV15-1257,01227294,A531AT532-005,A531AT562-002,53,53
SRR18747728,86987564,PRJNA826530,56788419,AV15-1229,01227854,A428AS686-005,A428AS802-002,43,43
SRR27023028,90215090,PRJNA1047679,45554663,22001805511831,01227858,DS-271151,A589BN802-003,399,412
